Z1,Z2
0,2.314886109005825,1.4749687535424472
1,1.5590788346862188,1.7351096086362372
2,0.6101373582023509,1.4873276523307828
3,1.641543346966679,1.1171755259011973
4,1.8491943830762838,0.5060741905301855
5,2.5566969515940716,1.0604917841703292
6,3.008149082324109,1.379703395215552
7,3.031902020849131,1.7973775975310675
8,2.4506223044481525,2.242180604295344
9,2.90225854198785,2.0509346758844407
10,1.2520308336566432,1.7973041818666682
11,3.433838899803888,2.087264908438766
12,2.5430234395048514,0.8552222206046919
13,1.737322142533505,2.468911491009214
14,2.4521550470325306,1.69490149349468
15,1.950153032840158,1.2494074169367726
16,3.21696381863168,1.6886800253578818
17,3.7406792588044104,1.433987883728102
18,4.561945456359257,2.4096871822149546
19,0.5291762397669089,2.683797689966948
20,0.4231915492093443,3.205078554633372
21,1.3067532073749069,0.23208902445283944
22,2.2292445963940386,0.34943790444796585
23,2.866039403483342,0.8169808354179293
24,2.1666326390903605,1.3799054146004215
25,-0.3687232806515883,1.8619256391931547
26,1.6038837302215274,1.4573509914759888
27,2.7777688403872505,-0.3911095629368323
28,2.170082246394064,1.039696648648312
29,2.929857575427456,2.0360834653553037
30,1.73681423090511,1.5004327602523502
31,1.7769621734790797,2.0486963521012957
32,2.4406623765319977,1.4512148080784617
33,2.365192166882448,1.1580088763887217
34,2.1364979000300384,1.6268318714629895
35,2.1433716541127676,1.6680966605422762
36,1.2526901537199502,1.4859671986589107
37,2.4429122574553994,1.527952250381325
38,2.204648385531942,0.9475280950453264
39,3.2191348264833644,1.6867411079990318
40,3.3101840260921804,1.5346282280728822
41,2.021346189072627,2.071068508378644
42,1.647819359241609,2.377761622605261
43,1.1881493519157098,1.3056951324661936
44,2.5309945768059228,1.2186243388045248
45,2.109552207702507,0.8561826788600884
46,1.5756746663883767,1.7256099132807057
47,2.116838591108704,1.5455685939827875
48,1.2086757579162524,0.9936489527310582
49,2.717737872587693,1.4316896488843451
50,1.4594092750921908,0.7973237268981656
51,3.323236627136243,1.878694662661579
52,2.509331816764302,1.0870775033589555
53,2.6719304560148665,2.3452597194494627
54,0.7382325561195331,1.6991678581696903
55,2.339558417479193,2.0235890603250644
56,2.88474989617924,0.5869005892570107
57,1.0254801951998793,1.7122417494240425
58,1.798088192452672,2.1102534763821237
59,2.1957629752851933,0.8777231105624143
60,0.40694230235431633,1.176033089342618
61,2.29189917569437,1.482257927147484
62,3.1090065297878158,0.46308942909230033
63,0.9194613845251578,1.4692583424264019
